BallotName,BallotOrder,LocalityName,Percentage,PoliticalParty,PrecinctName,Votes
Joseph R. Biden,1.0,Accomack County,63.47%,Democratic,# AB - Central Absentee Precinct (02),5495.0
Donald J. Trump,2.0,Accomack County,35.62%,Republican,# AB - Central Absentee Precinct (02),3084.0
Jo Jorgensen,3.0,Accomack County,0.76%,Libertarian,# AB - Central Absentee Precinct (02),66.0
Write In,2147483647.0,Accomack County,0.14%,Write-In,# AB - Central Absentee Precinct (02),12.0
Joseph R. Biden,1.0,Accomack County,52.38%,Democratic,## Provisional (02),11.0
Donald J. Trump,2.0,Accomack County,47.62%,Republican,## Provisional (02),10.0
Jo Jorgensen,3.0,Accomack County,0.00%,Libertarian,## Provisional (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,## Provisional (02),0.0
Joseph R. Biden,1.0,Accomack County,17.34%,Democratic,101 - CHINCOTEAGUE (02),229.0
Donald J. Trump,2.0,Accomack County,81.15%,Republican,101 - CHINCOTEAGUE (02),1072.0
Jo Jorgensen,3.0,Accomack County,1.44%,Libertarian,101 - CHINCOTEAGUE (02),19.0
Write In,2147483647.0,Accomack County,0.08%,Write-In,101 - CHINCOTEAGUE (02),1.0
Joseph R. Biden,1.0,Accomack County,16.57%,Democratic,201 - ATLANTIC (02),88.0
Donald J. Trump,2.0,Accomack County,81.92%,Republican,201 - ATLANTIC (02),435.0
Jo Jorgensen,3.0,Accomack County,1.32%,Libertarian,201 - ATLANTIC (02),7.0
Write In,2147483647.0,Accomack County,0.19%,Write-In,201 - ATLANTIC (02),1.0
Joseph R. Biden,1.0,Accomack County,16.10%,Democratic,202 - GREENBACKVILLE (02),141.0
Donald J. Trump,2.0,Accomack County,82.53%,Republican,202 - GREENBACKVILLE (02),723.0
Jo Jorgensen,3.0,Accomack County,1.37%,Libertarian,202 - GREENBACKVILLE (02),12.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,202 - GREENBACKVILLE (02),0.0
Joseph R. Biden,1.0,Accomack County,38.00%,Democratic,301 - NEW CHURCH (02),277.0
