BallotName,BallotOrder,LocalityName,Percentage,PoliticalParty,PrecinctName,Votes
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,# AB - Central Absentee Precinct (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,# AB - Central Absentee Precinct (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,# AB - Central Absentee Precinct (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,# AB - Central Absentee Precinct (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,# EV - Central Absentee Precinct (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,# EV - Central Absentee Precinct (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,# EV - Central Absentee Precinct (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,# EV - Central Absentee Precinct (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,# PE - Central Absentee Precinct (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,# PE - Central Absentee Precinct (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,# PE - Central Absentee Precinct (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,# PE - Central Absentee Precinct (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,## Provisional (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,## Provisional (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,## Provisional (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,## Provisional (02),0.0
Glenn A. Youngkin,1.0,Accomack County,74.58%,Republican,101 - CHINCOTEAGUE (02),983.0
Terry R. McAuliffe,2.0,Accomack County,24.73%,Democratic,101 - CHINCOTEAGUE (02),326.0
Princess L. Blanding,3.0,Accomack County,0.61%,Liberation,101 - CHINCOTEAGUE (02),8.0
Write In,2147483647.0,Accomack County,0.08%,Write-In,101 - CHINCOTEAGUE (02),1.0
Glenn A. Youngkin,1.0,Accomack County,86.72%,Republican,201 - ATLANTIC (02),418.0
Terry R. McAuliffe,2.0,Accomack County,12.86%,Democratic,201 - ATLANTIC (02),62.0
Princess L. Blanding,3.0,Accomack County,0.41%,Liberation,201 - ATLANTIC (02),2.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,201 - ATLANTIC (02),0.0
Glenn A. Youngkin,1.0,Accomack County,81.69%,Republican,202 - GREENBACKVILLE (02),687.0
Terry R. McAuliffe,2.0,Accomack County,17.95%,Democratic,202 - GREENBACKVILLE (02),151.0
Princess L. Blanding,3.0,Accomack County,0.36%,Liberation,202 - GREENBACKVILLE (02),3.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,202 - GREENBACKVILLE (02),0.0
Glenn A. Youngkin,1.0,Accomack County,65.43%,Republican,301 - NEW CHURCH (02),424.0
Terry R. McAuliffe,2.0,Accomack County,33.64%,Democratic,301 - NEW CHURCH (02),218.0
Princess L. Blanding,3.0,Accomack County,0.93%,Liberation,301 - NEW CHURCH (02),6.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,301 - NEW CHURCH (02),0.0
Glenn A. Youngkin,1.0,Accomack County,81.03%,Republican,401 - BLOXOM (02),282.0
Terry R. McAuliffe,2.0,Accomack County,18.68%,Democratic,401 - BLOXOM (02),65.0
Princess L. Blanding,3.0,Accomack County,0.29%,Liberation,401 - BLOXOM (02),1.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,401 - BLOXOM (02),0.0
Glenn A. Youngkin,1.0,Accomack County,78.72%,Republican,402 - PARKSLEY (02),370.0
Terry R. McAuliffe,2.0,Accomack County,21.28%,Democratic,402 - PARKSLEY (02),100.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,402 - PARKSLEY (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,402 - PARKSLEY (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,403 - SAXIS (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,403 - SAXIS (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,403 - SAXIS (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,403 - SAXIS (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,501 - MAPPSVILLE (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,501 - MAPPSVILLE (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,501 - MAPPSVILLE (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,501 - MAPPSVILLE (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,502 - RUE (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,502 - RUE (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,502 - RUE (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,502 - RUE (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,601 - ACCOMAC (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,601 - ACCOMAC (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,601 - ACCOMAC (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,601 - ACCOMAC (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,602 - TANGIER (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,602 - TANGIER (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,602 - TANGIER (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,602 - TANGIER (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,701 - NANDUA (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,701 - NANDUA (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,701 - NANDUA (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,701 - NANDUA (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,801 - BOBTOWN (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,801 - BOBTOWN (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,801 - BOBTOWN (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,801 - BOBTOWN (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,802 - MELFA (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,802 - MELFA (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,802 - MELFA (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,802 - MELFA (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,803 - WACHAPREAGUE (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,803 - WACHAPREAGUE (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,803 - WACHAPREAGUE (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,803 - WACHAPREAGUE (02),0.0
Glenn A. Youngkin,1.0,Accomack County,0.00%,Republican,901 - PAINTER (02),0.0
Terry R. McAuliffe,2.0,Accomack County,0.00%,Democratic,901 - PAINTER (02),0.0
Princess L. Blanding,3.0,Accomack County,0.00%,Liberation,901 - PAINTER (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,901 - PAINTER (02),0.0
Glenn A. Youngkin,1.0,Albemarle County,14.78%,Republican,# AB - Central Absentee Precinct (05),857.0
Terry R. McAuliffe,2.0,Albemarle County,84.17%,Democratic,# AB - Central Absentee Precinct (05),4880.0
Princess L. Blanding,3.0,Albemarle County,0.97%,Liberation,# AB - Central Absentee Precinct (05),56.0
Write In,2147483647.0,Albemarle County,0.09%,Write-In,# AB - Central Absentee Precinct (05),5.0
Glenn A. Youngkin,1.0,Albemarle County,30.70%,Republican,# EV - Central Absentee Precinct (05),4154.0
Terry R. McAuliffe,2.0,Albemarle County,68.88%,Democratic,# EV - Central Absentee Precinct (05),9319.0
Princess L. Blanding,3.0,Albemarle County,0.36%,Liberation,# EV - Central Absentee Precinct (05),49.0
Write In,2147483647.0,Albemarle County,0.05%,Write-In,# EV - Central Absentee Precinct (05),7.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,# PE - Central Absentee Precinct (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,# PE - Central Absentee Precinct (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,# PE - Central Absentee Precinct (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,# PE - Central Absentee Precinct (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,## Provisional (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,## Provisional (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,## Provisional (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,## Provisional (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,101 - WOODBROOK (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,101 - WOODBROOK (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,101 - WOODBROOK (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,101 - WOODBROOK (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,32.45%,Republican,103 - BRANCHLANDS (05),122.0
Terry R. McAuliffe,2.0,Albemarle County,66.22%,Democratic,103 - BRANCHLANDS (05),249.0
Princess L. Blanding,3.0,Albemarle County,1.33%,Liberation,103 - BRANCHLANDS (05),5.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,103 - BRANCHLANDS (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,30.93%,Republican,104 - AGNOR-HURT (05),270.0
Terry R. McAuliffe,2.0,Albemarle County,67.70%,Democratic,104 - AGNOR-HURT (05),591.0
