region,fips
Accomack County,001
Albemarle County,003
Alleghany County,005
Amelia County,007
Amherst County,009
Appomattox County,011
Arlington County,013
Augusta County,015
Bath County,017
Bedford County,019
Bland County,021
Botetourt County,023
Brunswick County,025
Buchanan County,027
Buckingham County,029
Campbell County,031
Caroline County,033
Carroll County,035
Charles City County,036
Charlotte County,037
Chesterfield County,041
Clarke County,043
Craig County,045
Culpeper County,047
Cumberland County,049
Dickenson County,051
Dinwiddie County,053
Essex County,057
Fairfax County,059
Fauquier County,061
Floyd County,063
Fluvanna County,065
Franklin County,067
Frederick County,069
Giles County,071
Gloucester County,073
Goochland County,075
Grayson County,077
Greene County,079
Greensville County,081
Halifax County,083
Hanover County,085
Henrico County,087
Henry County,089
Highland County,091
Isle of Wight County,093
James City County,095
King and Queen County,097
King George County,099
King William County,101
Lancaster County,103
Lee County,105
Loudoun County,107
Louisa County,109
Lunenburg County,111
Madison County,113
Mathews County,115
Mecklenburg County,117
Middlesex County,119
Montgomery County,121
Nelson County,125
New Kent County,127
Northampton County,131
Northumberland County,133
Nottoway County,135
Orange County,137
Page County,139
Patrick County,141
Pittsylvania County,143
Powhatan County,145
Prince Edward County,147
Prince George County,149
Prince William County,153
Pulaski County,155
Rappahannock County,157
Richmond County,159
Roanoke County,161
Rockbridge County,163
Rockingham County,165
Russell County,167
Scott County,169
Shenandoah County,171
Smyth County,173
Southampton County,175
Spotsylvania County,177
Stafford County,179
Surry County,181
Sussex County,183
Tazewell County,185
Warren County,187
Washington County,191
Westmoreland County,193
Wise County,195
Wythe County,197
York County,199
Alexandria City,510
Bristol City,520
Buena Vista City,530
Charlottesville City,540
Chesapeake City,550
Colonial Heights City,570
Covington City,580
Danville City,590
Emporia City,595
Fairfax City,600
Falls Church City,610
Franklin City,620
Fredericksburg City,630
Galax City,640
Hampton City,650
Harrisonburg City,660
Hopewell City,670
Lexington City,678
Lynchburg City,680
Manassas City,683
Manassas Park City,685
Martinsville City,690
Newport News City,700
Norfolk City,710
Norton City,720
Petersburg City,730
Poquoson City,735
Portsmouth City,740
Radford City,750
Richmond City,760
Roanoke City,770
Salem City,775
Staunton City,790
Suffolk City,800
Virginia Beach City,810
Waynesboro City,820
Williamsburg City,830
Winchester City,840
